ID,Name,Type,Serving,Serving Size,Headline,Intensity,Sleeve Price,Per Capsule Price,Caption,Taste,Best Served As,Notes,Acidity,Bitterness,Roastness,Body,Milky Taste,Bitterness with Milk,Roastiness with Milk,Creamy Texture,Ingredients & Allergens,Number of Capsules per Sleeve,Net Weight per Total Number of Capsules,Capsule Image Link,Capsule & Sleeve Image Link,Decaf Coffee?,Category,Other Information,Status,Roast Type,Intensity Classification,Acidity Classification,Bitterness Classification,Roastness Classification,Body Classification,Milky Taste Classification,Bitterness with Milk Classification,Roastiness with Milk Classification,Creamy Texture Classification,Textual Info
VL01,Intenso,Vertuo,Coffee,230ml,Smooth & Strong,9.0,12.6,1.26,Why we love it: Try Intenso - a Vertuo coffee that’s dense and dark as night but glowing with golden brown sugar notes.,It’s a blend of Guatemalan washed Robusta coffee beans and Latin American Arabica. It’s thick with roasted notes and has a lingering finish. We split roast the Nespresso Intenso blend. The Arabicas get a darker roast to lower the acidity and bring out that brown sugar aroma. The Guatemalan coffee gets a longer roast to develop the Robusta coffee beans’ bold and bitter notes. It’s an intense long black with a distinctly lingering aftertaste and a thick coffee crema.,Coffee 230ml,Intense,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446332870686/intenso-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/intenso_XL.png,No,Signature Coffee,,Current,Dark,High,Low,High,High,Medium,Medium,Medium,Medium,Medium,vertuo coffee 230ml smooth strong love try intenso vertuo coffee dense dark night glowing golden brown sugar notes blend guatemalan washed robusta coffee beans latin american arabica thick roasted notes lingering finish split roast nespresso intenso blend arabicas get dark roast low acidity bring brown sugar aroma guatemalan coffee gets long roast develop robusta coffee beans bold bitter notes intense long black distinctly lingering aftertaste thick coffee crema coffee 230ml intense signature coffee dark high low high high medium medium medium medium medium
VL02,Stormio,Vertuo,Coffee,230ml,Rich & Strong,8.0,12.6,1.26,Why we love it: Stormio’s a darkly roasted blend that rushes in with this myriad of aromas. But that all that strength could come from pure Arabica coffees?,"A long, slow roast intensifies the Nicaraguan and Guatemalan cereal aromatics to notes of spice and wood. They’re all high-grown Arabica coffees that we give that deep roast to build the rich intensity. But this Vertuo coffee pod remains smooth and full-bodied. Milk may mellow out Stormio - but you’ll still taste the powerful roasted notes that blow you away with a gathering storm.",Coffee 230ml,Intense,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446333558814/stormio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/ecom/medias/sys_master/public/13252705648670/C-0113-Main-PDP-CoffeeMug-Stormio-VL.jpg?impolicy=productPdpSafeZone&imwidth=1238,No,Signature Coffee,,Current,Medium,Medium,Low,High,High,High,Medium,Medium,Medium,Medium,vertuo coffee 230ml rich strong love stormio darkly roasted blend rushes myriad aromas strength could come pure arabica coffees long slow roast intensifies nicaraguan guatemalan cereal aromatics notes spice wood highgrown arabica coffees give deep roast build rich intensity vertuo coffee pod remains smooth fullbodied milk may mellow stormio still taste powerful roasted notes blow away gathering storm coffee 230ml intense signature coffee medium medium low high high high medium medium medium medium
VL03,Fortado,Vertuo,Gran Lungo,150ml,Intense & Full-Bodied,8.0,11.0,1.1,Why we love it: Here’s the most intense Vertuo coffee in its Gran Lungo size - Fortado. Vertuo Fortado is an Arabica and Robusta coffee blend in full force.,We chose a naturally processed Indian Robusta for its highend quality and unmatched intensity and full body. If you’re tasting those cocoa and oak wood notes - that’s the washed Colombian Arabica we blended with the Robusta. It’s a split roast - a long roast of the Robusta makes sure there’s no harshness and a darker long roast of the Colombian develops its distinct aromatics. Here’s a strong character with full crema - Vertuo Fortado comes at you in full force.,Gran Lungo 150ml,Cocoa,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14463427837982/fortado-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/fortado_L.png,No,Gran Lungo,,Current,Medium,Medium,Low,High,High,High,Medium,Medium,Medium,Medium,vertuo gran lungo 150ml intense fullbodied love intense vertuo coffee gran lungo size fortado vertuo fortado arabica robusta coffee blend full force chose naturally processed indian robusta highend quality unmatched intensity full body tasting cocoa oak wood notes washed colombian arabica blended robusta split roast long roast robusta makes sure harshness dark long roast colombian develops distinct aromatics strong character full crema vertuo fortado comes full force gran lungo 150ml cocoa gran lungo medium medium low high high high medium medium medium medium
VL04,Fortado Decaffeinato,Vertuo,Gran Lungo,150ml,Intense & Full-Bodied,8.0,11.0,1.1,"The most intense Gran Lungo Vertuo coffee, now decaffeinated.","Fortado Decaffeinato Indian Robusta comes at you in full force, with cocoa and oak wood notes still strong in the decaffeinated Colombian Arabica.",Gran Lungo 150ml,Woody,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,Decaffeinated Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446710554654/fortado-decaffeinato-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/fortado-decaffeinato_XL.png,Yes,Gran Lungo,,Current,Medium,Medium,Low,High,High,High,Medium,Medium,Medium,Medium,vertuo gran lungo 150ml intense fullbodied intense gran lungo vertuo coffee decaffeinated fortado decaffeinato indian robusta comes full force cocoa oak wood notes still strong decaffeinated colombian arabica gran lungo 150ml woody gran lungo medium medium low high high high medium medium medium medium
VL05,Melozio,Vertuo,Coffee,230ml,Smooth & Balanced,6.0,12.6,1.26,Why we love it: You can’t help but fall for Melozio. It’s a harmonious blend of Latin American Arabicas that sing with smooth cereal notes and a honeyed sweetness. This Vertuo coffee’s an aroma of delight.,We chose Brazilian coffee of the Bourbon variety because it’s loved for its sweetness and distinct cereal note. It’s roasted and blended with lightly roasted Central American Arabicas that round out this Vertuo coffee. The split roasts allow the Brazilian Bourbon to develop its cereal note to become a sweet and smooth coffee. It’s hard not to fall for this one.,Coffee 230ml,Cereal,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446335524894/melozio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/ecom/medias/sys_master/public/13252512874526/C-0106-Main-PDP-CoffeeMug-Melozio-VL.jpg?impolicy=productPdpSafeZone&imwidth=1238,No,Signature Coffee,,Current,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,vertuo coffee 230ml smooth balanced love help fall melozio harmonious blend latin american arabicas sing smooth cereal notes honeyed sweetness vertuo coffee aroma delight chose brazilian coffee bourbon variety loved sweetness distinct cereal note roasted blended lightly roasted central american arabicas round vertuo coffee split roasts allow brazilian bourbon develop cereal note become sweet smooth coffee hard fall one coffee 230ml cereal signature coffee medium medium low medium medium medium medium medium medium medium
VL06,Melozio Decaffeinato,Vertuo,Coffee,230ml,Smooth & Balanced,6.0,12.6,1.26,"You’ve already fallen for Melozio Decaffeinato. A harmonious blend of Latin American Arabicas just like Melozio, but decaffeinated – and carrying the same aroma of delight. This decaf Vertuo still sings with smooth cereal notes and a honeyed sweetness.",We split roast this Vertuo coffee capsule's Arabica coffees. It allows the Brazilian Bourbon to develop its cereal note to become a sweet and smooth coffee. Lightly roasting the other Arabicas rounds out Melozio. Melozio Decaffeinato delights twice. Its Latin American Arabicas still sing with smooth cereal and honeyed sweetness even after decaffeination.,Coffee 230ml,Cereal,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Decaffeinated Roast and ground coffe,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446712553502/melozio-decaffeinato-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/melozio-decaffeinato_XL.png,Yes,Signature Coffee,,Current,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,vertuo coffee 230ml smooth balanced already fallen melozio decaffeinato harmonious blend latin american arabicas like melozio decaffeinated carrying aroma delight decaf vertuo still sings smooth cereal notes honeyed sweetness split roast vertuo coffee capsule s arabica coffees allows brazilian bourbon develop cereal note become sweet smooth coffee lightly roasting arabicas rounds melozio melozio decaffeinato delights twice latin american arabicas still sing smooth cereal honeyed sweetness even decaffeination coffee 230ml cereal signature coffee medium medium low medium medium medium medium medium medium medium
VL07,Half Caffeinato,Vertuo,Coffee,230ml,Sweet & Velvety,5.0,12.6,1.26,"Why we love it: You’ll love Half Caffeinato - its smooth, velvety texture and its sweet biscuit note.","This Vertuo coffee capsule blends decaffeinated and regular Arabica coffees from Brazil and Ethiopia. After decaffeination of half the coffee, a light and quick roast of a Brazilian Arabica coffee gives this Vertuo coffee pod a roundness and a sweetness. We chose to blend in an Ethiopian coffee so its delicate aromatics would add finesse. Half the coffee is Nespresso decaffeinated, but the taste is full.",Coffee 230ml,Biscuit,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446338048030/half-caffeinato-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/half-caffeinato_L.png,No,Signature Coffee,,Current,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,vertuo coffee 230ml sweet velvety love love half caffeinato smooth velvety texture sweet biscuit note vertuo coffee capsule blends decaffeinated regular arabica coffees brazil ethiopia decaffeination half coffee light quick roast brazilian arabica coffee gives vertuo coffee pod roundness sweetness chose blend ethiopian coffee delicate aromatics would add finesse half coffee nespresso decaffeinated taste full coffee 230ml biscuit signature coffee medium medium low low medium medium medium medium medium medium
VL08,Arondio,Vertuo,Gran Lungo,150ml,Cereal & Mild,6.0,11.0,1.1,Why we love it: Vertuo Arondio’s Colombian washed Arabicas and the touch of gourmet Guatemalan washed Robusta round each other off.,A mild Gran Lungo - but don’t be fooled - there’s an inner strength behind the cereal note - a subtle acidity and a hint of Robusta oomph.We split roast this Vertuo coffee capsule. The Colombian Arabica gets a light yet long roast - it keeps the hint of acidity there and develops the coffee’s roundness and mild cereal note. The Guatemalan washed Robusta is dark and long roasted to bring out more of that cereal note. Robusta also gives this Vertuo coffee a fuller coffee crema.,Gran Lungo 150ml,Cereal,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446108835870/arondio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/arondio_XL.png,No,Gran Lungo,,Current,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,vertuo gran lungo 150ml cereal mild love vertuo arondio colombian washed arabicas touch gourmet guatemalan washed robusta round mild gran lungo fooled inner strength behind cereal note subtle acidity hint robusta oomphwe split roast vertuo coffee capsule colombian arabica gets light yet long roast keeps hint acidity develops coffee roundness mild cereal note guatemalan washed robusta dark long roasted bring cereal note robusta also gives vertuo coffee full coffee crema gran lungo 150ml cereal gran lungo medium medium medium high medium medium medium medium medium medium
VL09,Inizio,Vertuo,Gran Lungo,150ml,Floral & Cereal,4.0,11.0,1.1,"Inizio is the helping hand easing you into your every day. The velvety, smooth body of this Kenyan and Ethiopian Arabica blend comes with a warmth and strength from its rich toasted cereal note. Its wild florals give you that laid-back Sunday feeling.","We split roast this medium roast coffee. The Ethiopian Arabicas get a lighter, shorter roast to keep those floral notes alive. A longer, darker roast of the Kenyan coffee adds body to this Vertuo coffee capsule. The brewing is also designed to bring out great crema while keeping the floral aromatics intact. A juicy coffee with that combines subtle floral and cereal notes.",Gran Lungo 150ml,Floral,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446709669918/inizio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/inizio_XL.png,No,Gran Lungo,,Current,Blonde,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,vertuo gran lungo 150ml floral cereal inizio helping hand easing every day velvety smooth body kenyan ethiopian arabica blend comes warmth strength rich toasted cereal note wild florals give laidback sunday feeling split roast medium roast coffee ethiopian arabicas get light short roast keep floral notes alive long dark roast kenyan coffee adds body vertuo coffee capsule brewing also designed bring great crema keeping floral aromatics intact juicy coffee combines subtle floral cereal notes gran lungo 150ml floral gran lungo blonde low medium medium medium high medium medium medium medium
VL10,Solelio,Vertuo,Coffee,230ml,Fruity & Lightly-Bodied,2.0,12.6,1.26,Why we love it: Solelio is our gentlest start to the day.,This Vertuo coffee capsule is an Arabica blend of two renowned washed coffees - both loved for their lively acidity and their distinct fruity notes. We split roast and blended high-grown Colombian coffee and Kenyan coffee to create a light roast coffee with a light body and a lovable character. A juicy acidity shines through Solelio’s toasted cereal note. It’s hard to miss the classic fruitiness of the Colombian and Kenyan coffees. You can really ease into morning with this Vertuo coffee.,Coffee 230ml,"Cereal, Fruity",3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,Roast and ground coffee,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446443167774/solelio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/solelio_XL.png,No,Signature Coffee,,Current,Blonde,Low,Medium,Low,Low,Low,Medium,Medium,Medium,Medium,vertuo coffee 230ml fruity lightlybodied love solelio gentle start day vertuo coffee capsule arabica blend two renowned washed coffees loved lively acidity distinct fruity notes split roast blended highgrown colombian coffee kenyan coffee create light roast coffee light body lovable character juicy acidity shines solelio toasted cereal note hard miss classic fruitiness colombian kenyan coffees really ease morning vertuo coffee coffee 230ml cereal fruity signature coffee blonde low medium low low low medium medium medium medium
